,pickup_zip,tip_amount,tip_count
0,11436,5.522545455,275
1,11419,5.39655914,93
2,11369,5.116447551,28904
3,11370,4.913515107,1357
4,11434,3.093809524,42
5,11368,2.908137255,102
6,11435,2.824,40
7,11418,2.633243243,37
8,11415,2.521096774,155
9,11220,2.305967742,62
10,10005,2.27598308,12293
11,10280,2.119886756,8389
12,11375,2.026907216,194
13,11231,2.011731475,1363
14,11215,1.910310945,804
15,11222,1.881314503,1841
16,11201,1.879496708,4709
17,10006,1.869662204,6424
18,10038,1.774486868,4531
19,11378,1.763103448,58